route_id,service_id,trip_id,block_id
1T,LV,1T0,1
1T,LV,1T1,1
1T,LV,1T2,1
1T,LV,1T3,1
1T,LV,1T4,1
1T,LV,1T5,1
1T,LV,1T6,1
1T,LV,1T7,1
1T,LV,1T8,1
1T,LV,1T9,1
1T,LV,1T10,1
1T,LV,1T11,1
1T,LV,1T12,1
1T,LV,1T13,1
1T,LV,1T14,1
1T,LV,1T15,1
1T,LV,1T16,1
1R,LV,1R0,1
1R,LV,1R1,1
1R,LV,1R2,1
1R,LV,1R3,1
1R,LV,1R4,1
1R,LV,1R5,1
1R,LV,1R6,1
1R,LV,1R7,1
1R,LV,1R8,1
1R,LV,1R9,1
1R,LV,1R10,1
1R,LV,1R11,1
1R,LV,1R12,1
1R,LV,1R13,1
1R,LV,1R14,1
1R,LV,1R15,1
1R,LV,1R16,1
1T,SD,1T20,1
1T,SD,1T21,1
1T,SD,1T22,1
1T,SD,1T23,1
1T,SD,1T24,1
1T,SD,1T25,1
1R,SD,1R20,1
1R,SD,1R21,1
1R,SD,1R22,1
1R,SD,1R23,1
1R,SD,1R24,1
1R,SD,1R25,1
