LPS;OMV;AXXA;EROILOR;EROILOR;DECORA;TMUCB;GARA;TUNARI;FABRA;LPS;
05:50;05:52;05:55;06:05;06:05;06:10;06:11;06:13;06:15;06:17;06:20;
06:20;06:22;06:25;06:35;06:35;06:40;06:41;06:43;06:45;06:47;06:50;
06:50;06:52;06:55;07:05;07:05;07:10;07:11;07:13;07:15;07:17;07:20;
07:20;07:22;07:25;07:35;07:35;07:40;07:41;07:43;07:45;07:47;07:50;
07:50;07:52;07:55;08:05;08:05;08:10;08:11;08:13;08:15;08:17;08:20;
08:20;08:22;08:25;08:35;08:35;08:40;08:41;08:43;08:45;08:47;08:50;
08:50;08:52;08:55;09:05;09:05;09:10;09:11;09:13;09:15;09:17;09:20;
09:20;09:22;09:25;09:35;09:35;09:40;09:41;09:43;09:45;09:47;09:50;
09:50;09:52;09:55;10:05;10:05;10:10;10:11;10:13;10:15;10:17;10:20;
10:20;10:22;10:25;10:35;10:35;10:40;10:41;10:43;10:45;10:47;10:50;
10:50;10:52;10:55;11:05;11:05;11:10;11:11;11:13;11:15;11:17;11:20;
11:20;11:22;11:25;11:35;11:35;11:40;11:41;11:43;11:45;11:47;11:50;
11:50;11:52;11:55;12:05;12:05;12:10;12:11;12:13;12:15;12:17;12:20;
12:20;12:22;12:25;12:35;12:35;12:40;12:41;12:43;12:45;12:47;12:50;
12:50;12:52;12:55;13:05;13:05;13:10;13:11;13:13;13:15;13:17;13:20;
13:20;13:22;13:25;13:35;13:35;13:40;13:41;13:43;13:45;13:47;13:50;
13:50;13:52;13:55;14:05;14:05;14:10;14:11;14:13;14:15;14:17;14:20;
14:20;14:22;14:25;14:35;14:35;14:40;14:41;14:43;14:45;14:47;14:50;
14:50;14:52;14:55;15:05;15:05;15:10;15:11;15:13;15:15;15:17;15:20;
15:20;15:22;15:25;15:35;15:35;15:40;15:41;15:43;15:45;15:47;15:50;
15:50;15:52;15:55;16:05;16:05;16:10;16:11;16:13;16:15;16:17;16:20;
16:20;16:22;16:25;16:35;16:35;16:40;16:41;16:43;16:45;16:47;16:50;
16:50;16:52;16:55;17:05;17:05;17:10;17:11;17:13;17:15;17:17;17:20;
17:20;17:22;17:25;17:35;17:35;17:40;17:41;17:43;17:45;17:47;17:50;
17:50;17:52;17:55;18:05;18:05;18:10;18:11;18:13;18:15;18:17;18:20;
18:20;18:22;18:25;18:35;18:35;18:40;18:41;18:43;18:45;18:47;18:50;
